,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
0,0013095_2_11,2,C,<3mo,CCR5,INDIA,2000.0,EF117267,"HIV-0013095-2.11, 0013095-2.11, HIV-0013095.2.11, HIV_0013095_2_11, 0013095, 0013095.2.11",Yes,13095,panel,C.IN.2000.0013095_2_11.EF117267,0.017826,0.01: Bricault2019_dataset3;0.012: Bricault2019;0.012: Bricault2019_dataset2;0.01200: Doria-Rose2016;0.012: Pancera2013;0.0125: Chuang2019;0.016: Falkowska2014;0.016: Sok2014;0.023: Huang2012a;0.023: Huang2016a_dataset1;0.024: Kong2015_dataset1;0.026: Kong2015_dataset2;0.039: Landais2017_dataset1;<0.023: Chuang2013;<0.023: Doria-Rose2012;<0.023: McLellan2011
1,001428_2_42,2,C,<3mo,CCR5,INDIA,2000.0,EF117266,"HIV-001428.2.42, 001428, HIV_001428_2_42, 001428-2.42, HIV-001428-2.42",Yes,1428,panel,C.IN.2000.001428_2_42.EF117266,0.0082374,0.0014: Chuang2019;0.002: Bricault2019;0.002: Bricault2019_dataset2;0.00200: Doria-Rose2016;0.002: Lee2017;0.002: Pancera2013;0.003: Kong2015_dataset2;0.004: Kong2015_dataset1;0.006: Falkowska2014;0.006: Sok2014;0.023: Huang2012a;0.023: Huang2016a_dataset1;0.024: Landais2017_dataset1;0.101: Bricault2019_dataset3;0.101: Hraber2014;<0.023: Chuang2013;<0.023: Doria-Rose2012;<0.023: McLellan2011
2,0041_V3_C18,2,C,<12mo,,TANZANIA,2004.0,HM215253,0041.V3.C18,Yes,41,panel,C.TZ.2004.0041_V3_C18.HM215253,0.001,0.001: Bricault2019_dataset1;0.001: Wagh2016
3,0077_V1_C16,2,C,<12mo,,TANZANIA,2003.0,HM215254,"0077_V1.C16, 0077.V1.C16, 0077",Yes,77,panel,C.TZ.2003.0077_V1_C16.HM215254,0.090744,0.083: Bricault2019;0.083: Bricault2019_dataset2;0.08300: Doria-Rose2016;0.083: Pancera2013;0.087: Chuang2019;0.091: Chuang2013;0.091: Doria-Rose2012;0.091: Huang2012a;0.091: Huang2016a_dataset1;0.091: McLellan2011;0.11: Bricault2019_dataset1;0.11: Wagh2016
4,00836_2_5,1B or 2,C,<12mo,CCR5,INDIA,2000.0,EF117265,"HIV_00836_2, 836, HIV_00836_2_5, 00836-2.5, HIV-00836-2.5, 00836-2.5.SG3",Yes,836,panel,C.IN.2000.00836_2_5.EF117265,49,49: Chuang2013;49: Chuang2019;49: Doria-Rose2012;49: Huang2012a;49: Huang2016a_dataset1;49: McLellan2011;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Doria-Rose2016;>50: Pancera2013
5,0260_V5_C36,,A1,<12mo,,TANZANIA,2005.0,HM215256,"0260.5.36, 0260.v5.c36",Yes,260,panel,A1.TZ.2005.0260_V5_C36.HM215256,1.71701,0.525: Andrabi2015;0.716: Kong2015_dataset2;1.1: Kong2015_dataset1;1.12: Bricault2019;1.12: Bricault2019_dataset2;1.12000: Doria-Rose2016;1.12: Pancera2013;1.65: Chuang2019;1.65: Doria-Rose2014;1.693: Bricault2019_dataset3;2.18: Chuang2013;2.18: Doria-Rose2012;2.18: Huang2012a;2.18: Huang2016a_dataset1;2.18: McLellan2011;2.408: Falkowska2014;2.408: vanGils2016;2.41: Sok2014;14: Landais2017_dataset1
6,0301_BM_A12,,C,,,MALAWI,2008.0,HM070481,0301_bmA12,Yes,715900301,non-panel,C.MW.2008.0301_BM_A12.HM070481,0.66,0.66: Fouda2013
7,0301_BM_A2,,C,,,MALAWI,2008.0,HM070482,0301_bmA2,Yes,715900301,non-panel,C.MW.2008.0301_BM_A2.HM070482,0.91,0.91: Fouda2013
8,0301_BM_A6,,C,,,MALAWI,2008.0,HM070484,0301_bmA6,Yes,715900301,non-panel,C.MW.2008.0301_BM_A6.HM070484,0.91,0.91: Fouda2013
9,0330_V4_C3,2,A1,<12mo,,TANZANIA,2005.0,HM215257,0330.v4.c3,Yes,330,panel,A1.TZ.2005.0330_V4_C3.HM215257,0.015813,0.007: Kong2015_dataset1;0.013: Bricault2019;0.013: Bricault2019_dataset2;0.01300: Doria-Rose2016;0.013: Falkowska2014;0.013: Pancera2013;0.013: Sok2014;0.0155: Chuang2019;0.018: Chuang2013;0.018: Doria-Rose2012;0.018: Huang2012a;0.018: Huang2016a_dataset1;0.018: Kong2015_dataset2;0.018: McLellan2011;0.026: Bricault2019_dataset3;0.033: Landais2017_dataset1
10,0404_BM_B9,,C,,,MALAWI,2009.0,HQ595836,0404_bmB9,Yes,714910404,non-panel,C.MW.2009.0404_BM_B9.HQ595836,0.08,0.08: Fouda2013
11,0404_BM_D4,,C,,,MALAWI,2009.0,HQ595839,0404_bmD4,Yes,714910404,non-panel,C.MW.2009.0404_BM_D4.HQ595839,6.87,6.87: Fouda2013
12,0404_BM_F3,,C,,,MALAWI,2009.0,HQ595842,0404_bmF3,Yes,714910404,non-panel,C.MW.2009.0404_BM_F3.HQ595842,0.04,0.04: Fouda2013
13,0404_BM_G3,,C,,,MALAWI,2009.0,HQ595847,0404_bmG3,Yes,714910404,non-panel,C.MW.2009.0404_BM_G3.HQ595847,0.58,0.58: Fouda2013
14,0404_BM_H4,,C,,,MALAWI,2009.0,HQ595852,0404_bmH4,Yes,714910404,non-panel,C.MW.2009.0404_BM_H4.HQ595852,0.01,0.01: Fouda2013
15,0439_V5_C1,2,A1,<12mo,,TANZANIA,2005.0,HM215258,"439, 0439.v5.c1",Yes,439,panel,A1.TZ.2005.0439_V5_C1.HM215258,100.0,>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
16,0702_BM_B4,,C,,,MALAWI,2008.0,HM070516,0702_bmB4,Yes,715900702,non-panel,C.MW.2008.0702_BM_B4.HM070516,0.83,0.83: Fouda2013
17,0702_BM_B9,,C,,,MALAWI,2008.0,HM070517,0702_bmB9,Yes,715900702,non-panel,C.MW.2008.0702_BM_B9.HM070517,0.38,0.38: Fouda2013
18,0702_BM_D1,,C,,,MALAWI,2008.0,HM070518,0702_bmD1,Yes,715900702,non-panel,C.MW.2008.0702_BM_D1.HM070518,0.18,0.18: Fouda2013
19,0702_BM_H12,,C,,,MALAWI,2008.0,HM070525,0702_bmH12,Yes,715900702,non-panel,C.MW.2008.0702_BM_H12.HM070525,0.37,0.37: Fouda2013
20,0815_V3_C3,2,A1D,<12mo,,TANZANIA,2004.0,HM215260,"0815.V3.C3, 815, 0815.v3.c3",Yes,815,panel,A1D.TZ.2004.0815_V3_C3.HM215260,100.0,> 50: Sok2014;>100: Landais2017_dataset1;>10: vanGils2016;>25: Kong2015_dataset1;>25: Kong2015_dataset2;>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Bricault2019_dataset3;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Falkowska2014;>50: Hraber2014;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
21,0921_V2_C14,2,C,<12mo,,TANZANIA,2004.0,HM215262,"921, 0921.v2.c14, 0921.V2.C14",Yes,921,panel,C.TZ.2004.0921_V2_C14.HM215262,0.0036148,0.003: Bricault2019_dataset1;0.003: Wagh2016;0.0035: Chuang2019;0.004: Bricault2019;0.004: Bricault2019_dataset2;0.00400: Doria-Rose2016;0.004: Pancera2013
22,0933_V4_C4,3,C,<12mo,,TANZANIA,2005.0,HM215352,"933.v4.c4, 933_V4_C4, 0933.v4.c4",Yes,933,panel,C.TZ.2005.0933_V4_C4.HM215352,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
23,0984_V2_C2,3,C,<12mo,,TANZANIA,2004.0,HM215263,0984.v2.c2,Yes,984,panel,C.TZ.2004.0984_V2_C2.HM215263,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
24,09GX268,,01_AE,,,CHINA,2009.0,MG655196,,Yes,09GX268,non-panel,01_AE.CN.2009.09GX268.MG655196,0.087,0.087: Wang2018a
25,09GX285,,01_AE,,,CHINA,2009.0,MG655197,,Yes,09GX285,non-panel,01_AE.CN.2009.09GX285.MG655197,0.375,0.375: Wang2018a
26,09GX286,,01_AE,,,CHINA,2009.0,MG655198,,Yes,09GX286,non-panel,01_AE.CN.2009.09GX286.MG655198,20.0,>10: Wang2018a
27,09GX300,,01_AE,,,CHINA,2009.0,MG655199,,Yes,09GX300,non-panel,01_AE.CN.2009.09GX300.MG655199,1.557,1.557: Wang2018a
28,09GX310,,01_AE,,,CHINA,2009.0,MG655200,,Yes,09GX310,non-panel,01_AE.CN.2009.09GX310.MG655200,0.112,0.112: Wang2018a
29,09GX311,,01_AE,,,CHINA,2009.0,MG655201,,Yes,09GX311,non-panel,01_AE.CN.2009.09GX311.MG655201,0.236,0.236: Wang2018a
30,09GX319,,01_AE,,,CHINA,2009.0,MG655202,,Yes,09GX319,non-panel,01_AE.CN.2009.09GX319.MG655202,0.04,0.04: Wang2018a
31,09GX330,,01_AE,,,CHINA,2009.0,MG655203,,Yes,09GX330,non-panel,01_AE.CN.2009.09GX330.MG655203,0.334,0.334: Wang2018a
32,09GX332,,01_AE,,,CHINA,2009.0,MG655204,,Yes,09GX332,non-panel,01_AE.CN.2009.09GX332.MG655204,20.0,>10: Wang2018a
33,100002I_2_1,2,B,acute T/F,,UNITED STATES,1993.0,MH012316,,Yes,100002i,non-panel,B.US.1993.100002I_2_1.MH012316,0.6,0.6: Kumar2018
34,100014I_2_20,2,B,acute T/F,,UNITED STATES,1993.0,MH012405,,Yes,100014i,non-panel,B.US.1993.100014I_2_20.MH012405,50.0,>25: Kumar2018
35,100046I_3_2,2,B,acute T/F,,UNITED STATES,1993.0,MH012266,,Yes,100046i,non-panel,B.US.1993.100046I_3_2.MH012266,0.05,0.05: Kumar2018
36,100052I_2_15,1B,B,acute T/F,,UNITED STATES,1993.0,MH012468,,Yes,100052i,non-panel,B.US.1993.100052I_2_15.MH012468,2.97,2.97: Kumar2018
37,100155I_21,1B,B,acute T/F,,UNITED STATES,1992.0,MH012529,,Yes,100155i,non-panel,B.US.1992.100155I_21.MH012529,0.43,0.43: Kumar2018
38,100307I_2_26,1B,B,acute T/F,,UNITED STATES,1991.0,MH012599,,Yes,100307i,non-panel,B.US.1991.100307I_2_26.MH012599,0.1,0.1: Kumar2018
39,100307I_2_7,2,B,acute T/F,,UNITED STATES,1991.0,MH012608,,Yes,100307i,non-panel,B.US.1991.100307I_2_7.MH012608,4.46,4.46: Kumar2018
40,100383I_3_5,2,B,acute T/F,,UNITED STATES,1991.0,MH012655,,Yes,100383i,non-panel,B.US.1991.100383I_3_5.MH012655,50.0,>25: Kumar2018
41,100504I_20,2,B,acute T/F,,UNITED STATES,1993.0,MH012682,,Yes,100504i,non-panel,B.US.1993.100504I_20.MH012682,50.0,>25: Kumar2018
42,1006_11_C3_1601,2,B,acute T/F,,UNITED STATES,1997.0,EU289183,"1006.11.C3.1601, 1006-11.C3.1601, 1006, BB1006-11.C3.1601",Yes,1006,panel,B.US.1997.1006_11_C3_1601.EU289183,0.26423,0.082: Lee2017;0.18: Kong2015_dataset2;0.212: Falkowska2014;0.212: Sok2014;0.212: vanGils2016;0.248: Kong2015_dataset1;0.366: Bricault2019_dataset3;0.366: Doria-Rose2012;0.366: Hraber2014;0.97: Landais2017_dataset1
43,100711I_3_26,2,B,acute T/F,,UNITED STATES,1990.0,MH012790,,Yes,100711i,non-panel,B.US.1990.100711I_3_26.MH012790,0.24,0.24: Kumar2018
44,100890I_2_1,2,B,acute T/F,,UNITED STATES,1991.0,MH012806,,Yes,100890i,non-panel,B.US.1991.100890I_2_1.MH012806,50.0,>25: Kumar2018
45,100890I_2_4,1A,B,acute T/F,,UNITED STATES,1991.0,MH012819,,Yes,100890i,non-panel,B.US.1991.100890I_2_4.MH012819,50.0,>25: Kumar2018
46,100997I_2_18,3,B,acute T/F,,UNITED STATES,1991.0,MH012866,,Yes,100997i,non-panel,B.US.1991.100997I_2_18.MH012866,12.86,12.86: Kumar2018
47,100997I_2_2,2,B,acute T/F,,UNITED STATES,1991.0,MH012868,,Yes,100997i,non-panel,B.US.1991.100997I_2_2.MH012868,50.0,>25: Kumar2018
48,1012_11_TC21_3257,1B or 2,B,acute T/F,,UNITED STATES,1997.0,EU289184,"1012-11.TC21, BB1012-11.TC21, 1012.11.TC21.3257, 1012-11.TC21.3257, 1012",Yes,1012,panel,B.US.1997.1012_11_TC21_3257.EU289184,0.18771,0.018: Lee2017;0.138: Kong2015_dataset1;0.172: Bricault2019_dataset3;0.172: Doria-Rose2012;0.172: Hraber2014;0.185: Falkowska2014;0.185: Sok2014;0.185: vanGils2016;0.196: Andrabi2015;0.25: Kong2015_dataset2;2.6: Landais2017_dataset1
49,101421I_2_11,2,B,acute T/F,,UNITED STATES,1991.0,MH012925,,Yes,101421i,non-panel,B.US.1991.101421I_2_11.MH012925,24.96,24.96: Kumar2018
50,101421I_2_23,1B,B,acute T/F,,UNITED STATES,1991.0,MH012937,,Yes,101421i,non-panel,B.US.1991.101421I_2_23.MH012937,6.9,6.9: Kumar2018
51,101984I_10,3,B,acute T/F,,UNITED STATES,1991.0,MH012963,,Yes,101984i,non-panel,B.US.1991.101984I_10.MH012963,2.8,2.8: Kumar2018
52,101984I_21,3,B,acute T/F,,UNITED STATES,1991.0,MH012971,,Yes,101984i,non-panel,B.US.1991.101984I_21.MH012971,50.0,>25: Kumar2018
53,102149I_2_23,2,B,acute T/F,,UNITED STATES,1993.0,MH013041,,Yes,102149i,non-panel,B.US.1993.102149I_2_23.MH013041,0.32,0.32: Kumar2018
54,102407I_2_1,2,B,acute T/F,,UNITED STATES,1993.0,MH013075,,Yes,102407i,non-panel,B.US.1993.102407I_2_1.MH013075,1.11,1.11: Kumar2018
55,102605I_33,2,B,acute T/F,,UNITED STATES,1992.0,MH013148,,Yes,102605i,non-panel,B.US.1992.102605I_33.MH013148,50.0,>25: Kumar2018
56,1054_07_TC4_1499,2,B,acute T/F,,UNITED STATES,1997.0,EU289185,"BB1054-07.TC4.1499, 1054.07.TC4.1499, 1054, 1054-07.TC4.1499",Yes,1054,panel,B.US.1997.1054_07_TC4_1499.EU289185,100.0,> 50: Sok2014;>100: Landais2017_dataset1;>25: Kong2015_dataset1;>25: Kong2015_dataset2;>50: Bricault2019_dataset3;>50: Doria-Rose2012;>50: Falkowska2014;>50: Hraber2014
57,1056_10_TA11_1826,1B or 2,B,acute T/F,,UNITED STATES,1998.0,EU289186,"1056-10.TA11.1826, 1056.10.TA11.1826, 1056, BB1056-10.TA11.1826",Yes,1056,panel,B.US.1998.1056_10_TA11_1826.EU289186,7.63795,6.0: Landais2017_dataset1;6.339: Bricault2019_dataset3;6.339: Doria-Rose2012;6.339: Hraber2014;6.55: Kong2015_dataset2;7.53: Kong2015_dataset1;12.392: Falkowska2014;12.4: Sok2014
58,1107356_07,1B,C,<3mo,,SOUTH AFRICA,2008.0,JQ352794,"BP0023_07, 1107356.07",Yes,BP00023,panel,C.ZA.2008.1107356_07.JQ352794,1.16,1.16: Bricault2019_dataset1;1.16: Wagh2016
59,1143465_14,1B,C,acute,,SOUTH AFRICA,2008.0,JQ352799,"1143465.14, BP0025_14",Yes,BP00025,panel,C.ZA.2008.1143465_14.JQ352799,8.38,8.38: Bricault2019_dataset1;8.38: Wagh2016
60,1170887_08,2,C,acute,,SOUTH AFRICA,2008.0,JQ352801,"BP0028_08, 1170887.08",Yes,BP00028,panel,C.ZA.2008.1170887_08.JQ352801,0.12,0.12: Bricault2019_dataset1;0.12: Wagh2016
61,1209_BM_A5,,C,,,MALAWI,2008.0,HM070562,1209_bmA5,Yes,715901209,non-panel,C.MW.2008.1209_BM_A5.HM070562,50.0,>25: Fouda2013
62,1209_BM_B21,,C,,,MALAWI,2008.0,HM070564,1209_bmB21,Yes,715901209,non-panel,C.MW.2008.1209_BM_B21.HM070564,0.94,0.94: Fouda2013
63,1209_BM_G5,,C,,,MALAWI,2008.0,HM070569,1209_bmG5,Yes,715901209,non-panel,C.MW.2008.1209_BM_G5.HM070569,0.77,0.77: Fouda2013
64,1209_BM_H5,,C,,,MALAWI,2008.0,HM070570,1209_bmH5,Yes,715901209,non-panel,C.MW.2008.1209_BM_H5.HM070570,0.04,0.04: Fouda2013
65,1245045,2,C,acute,,SOUTH AFRICA,2008.0,HQ595742,,Yes,1245045,panel,C.ZA.2008.1245045.HQ595742,0.67,0.67: Bricault2019_dataset1;0.67: Wagh2016
66,1394_C9G1,2,C,acute T/F,,MALAWI,2004.0,FJ444527,"1394, 1394C9G1_REV_, 1394_C9G1_Rev-, 1394C9G1(Rev-), 1394C9G1_Rev-, 1394C9G1(Rev.), 1394C9G1(RevM), 1394C9_G1(Rev-), 1394C9G1",Yes,1394,panel,C.MW.2004.1394_C9G1.FJ444527,0.017658,0.006: Lee2017;0.009: Kong2015_dataset1;0.016: Landais2017_dataset1;0.02: Bricault2019_dataset1;0.02: Wagh2016;0.021: Falkowska2014;0.021: Sok2014;0.023: Kong2015_dataset2;0.029: Bricault2019_dataset3;0.029: Hraber2014
67,15JS01,,01_AE,,,CHINA,2015.0,MG655205,,Yes,15JS01,non-panel,01_AE.CN.2015.15JS01.MG655205,0.509,0.509: Wang2018a
68,15JS06,,01_AE,,,CHINA,2015.0,MG655206,,Yes,15JS06,non-panel,01_AE.CN.2015.15JS06.MG655206,20.0,>10: Wang2018a
69,15JS07,,01_AE,,,CHINA,2015.0,MG655207,,Yes,15JS07,non-panel,01_AE.CN.2015.15JS07.MG655207,20.0,>10: Wang2018a
70,15JS102,,01_AE,,,CHINA,2015.0,MG655208,,Yes,15JS102,non-panel,01_AE.CN.2015.15JS102.MG655208,20.0,>10: Wang2018a
71,15JS111,,01_AE,,,CHINA,2015.0,MG655209,,Yes,15JS111,non-panel,01_AE.CN.2015.15JS111.MG655209,0.549,0.549: Wang2018a
72,15JS47,,01_AE,,,CHINA,2015.0,MG655210,,Yes,15JS47,non-panel,01_AE.CN.2015.15JS47.MG655210,20.0,>10: Wang2018a
73,15JS47_E169K,,01_AE,,,CHINA,2015.0,,,Yes,15JS47,mutant,01_AE.CN.2015.15JS47_E169K.,0.076,0.076: Wang2018a
74,15JS47_E169K_Q171K,,01_AE,,,CHINA,2015.0,,,Yes,15JS47,mutant,01_AE.CN.2015.15JS47_E169K_Q171K.,0.034,0.034: Wang2018a
75,15JS47_Q171K,,01_AE,,,CHINA,2015.0,,,Yes,15JS47,mutant,01_AE.CN.2015.15JS47_Q171K.,20.0,>10: Wang2018a
76,15JS48,,01_AE,,,CHINA,2015.0,MG655211,,Yes,15JS48,non-panel,01_AE.CN.2015.15JS48.MG655211,0.61,0.61: Wang2018a
77,15JS62,,01_AE,,,CHINA,2015.0,MG655212,,Yes,15JS62,non-panel,01_AE.CN.2015.15JS62.MG655212,0.356,0.356: Wang2018a
78,15JS65,,01_AE,,,CHINA,2015.0,MG655213,,Yes,15JS65,non-panel,01_AE.CN.2015.15JS65.MG655213,0.478,0.478: Wang2018a
79,15JS65_Q171K,,01_AE,,,CHINA,2015.0,,,Yes,15JS65,mutant,01_AE.CN.2015.15JS65_Q171K.,0.155,0.155: Wang2018a
80,15JS75,,01_AE,,,CHINA,2015.0,MG655214,,Yes,15JS75,non-panel,01_AE.CN.2015.15JS75.MG655214,0.077,0.077: Wang2018a
81,15JS76,,01_AE,,,CHINA,2015.0,MG655215,,Yes,15JS76,non-panel,01_AE.CN.2015.15JS76.MG655215,2.382,2.382: Wang2018a
82,15JS79,,01_AE,,,CHINA,2015.0,MG655216,,Yes,15JS79,non-panel,01_AE.CN.2015.15JS79.MG655216,0.099,0.099: Wang2018a
83,15JS99,,01_AE,,,CHINA,2015.0,MG655218,,Yes,15JS99,non-panel,01_AE.CN.2015.15JS99.MG655218,6.055,6.055: Wang2018a
84,16055_2_3,2,C,acute,CCR5,INDIA,1999.0,EF117268,"HIV-16055.2.3, HIV-16055-2.3, 16055, 16055-2.3, HIV_16055_2_3",Yes,16055,panel,C.IN.1999.16055_2_3.EF117268,0.013186,0.004: Kong2015_dataset1;0.004: Lee2017;0.008: Andrabi2015;0.011: Kong2015_dataset2;0.014: Chuang2013;0.014: Doria-Rose2012;0.014: Huang2012a;0.014: Huang2016a_dataset1;0.014: McLellan2011;0.015: Chuang2019;0.016: Bricault2019;0.016: Bricault2019_dataset2;0.01600: Doria-Rose2016;0.016: Pancera2013;0.018: Falkowska2014;0.018: Sok2014;0.018: vanGils2016;0.021: Bricault2019_dataset3;0.021: Hraber2014
85,16845_2_22,2,C,<12mo,CCR5,INDIA,1999.0,EF117269,"HIV-16845.2.22, 16845, HIV-16845-2.22, 16845-2.22, HIV_16845_2_22",Yes,16845,panel,C.IN.1999.16845_2_22.EF117269,3.10139,1.96: Bricault2019;1.96: Bricault2019_dataset2;1.96000: Doria-Rose2016;1.96: Pancera2013;2.17: Chuang2019;2.38: Chuang2013;2.38: Doria-Rose2012;2.38: Huang2012a;2.38: Huang2016a_dataset1;2.38: McLellan2011;2.64: Kong2015_dataset1;2.65: Kong2015_dataset2;4.398: Bricault2019_dataset3;4.398: Hraber2014;14.859: Falkowska2014;14.9: Sok2014
86,16936_2_21,2,C,<3mo,CCR5,INDIA,1999.0,EF117270,"16936-2.21.SG3, 16936, 16936-2.21",Yes,16936,panel,C.IN.1999.16936_2_21.EF117270,100.0,>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
87,1811_B3_23,2,C,<3mo,,BOTSWANA,2004.0,KC154012,"1811_B3.23, B001811_B3_23, 1811_B2.23",Yes,B001811,panel,C.BW.2004.1811_B3_23.KC154012,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
88,18814602_H8_F3,1B,C,acute,,SOUTH AFRICA,2005.0,HQ615948,,Yes,18814602,panel,C.ZA.2005.18814602_H8_F3.HQ615948,0.02,0.02: Bricault2019_dataset1;0.02: Wagh2016
89,191084_B7_19,2,A1,acute T/F,,UGANDA,2007.0,HM215266,"191084 B7-19, IAVI-191084, 191084B7-19, 191084_B7.19, 191084_B7-19, 191084CB7M19",Yes,191084,panel,A1.UG.2007.191084_B7_19.HM215266,0.025931,0.01: Kong2015_dataset1;0.023: Falkowska2014;0.023: Sok2014;0.026: Kong2015_dataset2;0.031: Landais2017_dataset1;0.043: Bricault2019_dataset3;0.043: Hraber2014
90,19157834_V1,2,C,acute,,SOUTH AFRICA,2005.0,HQ595743,19157834_v1,Yes,19157834,panel,C.ZA.2005.19157834_V1.HQ595743,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
91,191821_E6_1,2,D,acute T/F,,UGANDA,2006.0,HM215270,"191821, IAVI-191821, 191821.E6.1",Yes,191821,panel,D.UG.2006.191821_E6_1.HM215270,7.51771,3.6: Bricault2019_dataset3;3.6: Hraber2014;5.54: Bricault2019;5.54: Bricault2019_dataset2;5.54: Pancera2013;13.5: Kong2015_dataset1;14.9: Chuang2019;23.016: Falkowska2014;>25: Kong2015_dataset2
92,191955_A11,2,A1,acute T/F,,UGANDA,2007.0,HM215272,"IAVI-191955, 191955",Yes,191955,panel,A1.UG.2007.191955_A11.HM215272,0.023488,0.002: Lee2017;0.02: Kong2015_dataset1;0.023: Kong2015_dataset2;0.032: Falkowska2014;0.032: Sok2014;0.035: Landais2017_dataset1;0.053: Bricault2019_dataset3;0.053: Hraber2014
93,19252094_A5_G2,2,C,acute,,SOUTH AFRICA,2005.0,HQ615953,,Yes,19252094,panel,C.ZA.2005.19252094_A5_G2.HQ615953,0.01,0.01: Bricault2019_dataset1;0.01: Wagh2016
94,19314479_A2_5,2,C,acute,,SOUTH AFRICA,2005.0,HQ615958,,Yes,19314479,panel,C.ZA.2005.19314479_A2_5.HQ615958,0.14,0.14: Bricault2019_dataset1;0.14: Wagh2016
95,19707346_E8_C6,3,C,acute,,SOUTH AFRICA,2006.0,HQ615951,,Yes,19707346,panel,C.ZA.2006.19707346_E8_C6.HQ615951,0.28,0.28: Bricault2019_dataset1;0.28: Wagh2016
96,19715820_A10_H2,2,C,acute,,SOUTH AFRICA,2007.0,HQ615950,,Yes,19715820,panel,C.ZA.2007.19715820_A10_H2.HQ615950,0.07,0.07: Bricault2019_dataset1;0.07: Wagh2016
97,20104663_E11_D2,2,C,acute,,SOUTH AFRICA,2007.0,HQ615945,,Yes,20104663,panel,C.ZA.2007.20104663_E11_D2.HQ615945,0.04,0.04: Bricault2019_dataset1;0.04: Wagh2016
98,20198102_E9_G1,3,C,acute,,SOUTH AFRICA,2007.0,HQ615944,,Yes,20198102,panel,C.ZA.2007.20198102_E9_G1.HQ615944,0.03,0.03: Bricault2019_dataset1;0.03: Wagh2016
99,20258279_V2,2,C,<3mo,,SOUTH AFRICA,2007.0,HQ595763,"20258279_v2, 20258279-V2",Yes,20258279,panel,C.ZA.2007.20258279_V2.HQ595763,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
100,20286961_C1_H8,2,C,acute,,SOUTH AFRICA,2009.0,HQ615960,,Yes,20286961,panel,C.ZA.2009.20286961_C1_H8.HQ615960,0.01,0.01: Bricault2019_dataset1;0.01: Wagh2016
101,20355851_20,3,C,acute,,SOUTH AFRICA,2008.0,JQ352789,"BP0016_20, 20355851.20, 20355851.2",Yes,BP00016,panel,C.ZA.2008.20355851_20.JQ352789,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
102,20358510_01,2,C,acute,,SOUTH AFRICA,2008.0,JQ352790,"20358510.01, BP0018_01",Yes,BP00018,panel,C.ZA.2008.20358510_01.JQ352790,0.14,0.14: Bricault2019_dataset1;0.14: Wagh2016
103,20417927_07,2,C,acute,,SOUTH AFRICA,2007.0,JQ352785,"20417927.07, BP0002_07",Yes,BP00002,panel,C.ZA.2007.20417927_07.JQ352785,0.48,0.48: Bricault2019_dataset1;0.48: Wagh2016
104,20721190,3,C,acute,,SOUTH AFRICA,2008.0,HQ595747,,Yes,20721190,panel,C.ZA.2008.20721190.HQ595747,9.69,9.69: Bricault2019_dataset1;9.69: Wagh2016
105,20803520,2,C,acute,,SOUTH AFRICA,2008.0,HQ595748,,Yes,20803520,panel,C.ZA.2008.20803520.HQ595748,4.19,4.19: Bricault2019_dataset1;4.19: Wagh2016
106,20883229_C9_H6,3,C,acute,,SOUTH AFRICA,2008.0,HQ615943,,Yes,20883229,panel,C.ZA.2008.20883229_C9_H6.HQ615943,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
107,20915593,2,C,acute,,SOUTH AFRICA,2008.0,HQ595749,,Yes,20915593,panel,C.ZA.2008.20915593.HQ595749,0.26,0.26: Bricault2019_dataset1;0.26: Wagh2016
108,20927783,3,C,acute,,SOUTH AFRICA,2008.0,HQ595750,,Yes,20927783,panel,C.ZA.2008.20927783.HQ595750,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
109,20965238,2,C,acute,,SOUTH AFRICA,2009.0,HQ595751,,Yes,20965238,panel,C.ZA.2009.20965238.HQ595751,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
110,21197826_V1,3,C,acute,,SOUTH AFRICA,2009.0,HQ595753,"21197826_v1, 21197826-V1",Yes,21197826,panel,C.ZA.2009.21197826_V1.HQ595753,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
