,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
512,CT431_G6_6,2,C,acute,,SOUTH AFRICA,2007.0,JN681234,CT431_G6_6C,Yes,503_05649_CT431,panel,C.ZA.2007.CT431_G6_6.JN681234,0.08,0.08: Bricault2019_dataset1;0.08: Wagh2016
513,CT565_C7_48,3,C,<3mo,,SOUTH AFRICA,2009.0,KF114890,CT565_C7.48,Yes,503_05130_CT565,panel,C.ZA.2009.CT565_C7_48.KF114890,0.12,0.12: Bricault2019_dataset1;0.12: Wagh2016
514,CT810_G4_7,2,C,acute,,SOUTH AFRICA,2007.0,KF114891,"CT810_G4-7, CT810_G4.7",Yes,503_02854_CT810,panel,C.ZA.2007.CT810_G4_7.KF114891,0.09,0.09: Bricault2019_dataset1;0.09: Wagh2016
515,CT823_B6_1,2,C,acute,,SOUTH AFRICA,2007.0,JN681236,,Yes,503_07711_CT823,panel,C.ZA.2007.CT823_B6_1.JN681236,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
516,CT885_H3_2,2,C,<12mo,,SOUTH AFRICA,2008.0,JN967797,,Yes,503_06150_CT885,panel,C.ZA.2008.CT885_H3_2.JN967797,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
517,CT966_E1_7,2,C,<3mo,,SOUTH AFRICA,2008.0,JN681238,"CT966_E1_7C, CT966_E1-7",Yes,503_07001_CT966,panel,C.ZA.2008.CT966_E1_7.JN681238,0.02,0.02: Bricault2019_dataset1;0.02: Wagh2016
518,CT977_69_12,2,C,<3mo,,SOUTH AFRICA,2008.0,JN681239,,Yes,503_11474_CT977,panel,C.ZA.2008.CT977_69_12.JN681239,0.37,0.37: Bricault2019_dataset1;0.37: Wagh2016
519,DH12,,B,chronic,CCR5 CXCR4,UNITED STATES,1991.0,AF069140,,Yes,DH12,panel,B.US.1991.DH12.AF069140,0.35,0.35: Landais2017_dataset2
520,DJ263_8,1B,02_AG,<12mo,CCR5,FRANCE,1991.0,EU855130,"DJ263.8, DJ263",Yes,DJ263,panel,02_AG.FR.1991.DJ263_8.EU855130,0.10755,0.089: Pancera2010;0.091: Bricault2019;0.091: Bricault2019_dataset2;0.09100: Doria-Rose2016;0.091: Pancera2013;0.0955: Chuang2019;0.1: Chuang2013;0.1: Doria-Rose2012;0.1: Georgiev2013_dataset1;0.1: Huang2012a;0.1: Huang2016a_dataset1;0.1: McLellan2011;0.218: Falkowska2012;0.218: Georgiev2013_dataset2
521,DU123_06,2,C,<12mo,CCR5,SOUTH AFRICA,1998.0,DQ411850,"DU123.06, DU123_6, DU123, Du123.6, SVPC1",Yes,Du123,panel,C.ZA.1998.DU123_06.DQ411850,0.067615,0.047: Doria-Rose2012;0.047: Falkowska2012;0.047: Georgiev2013_dataset2;0.057: Pancera2010;0.062: Bricault2019;0.062: Bricault2019_dataset2;0.06200: Doria-Rose2016;0.062: Pancera2013;0.0765: Chuang2019;0.091: Chuang2013;0.091: Georgiev2013_dataset1;0.091: Huang2012a;0.091: Huang2016a_dataset1;0.091: McLellan2011
522,DU151_02,2,C,<12mo,CCR5,SOUTH AFRICA,1998.0,DQ411851,"DU151.02.SG3, DU151.02, Du151.2, SVPC2, DU151_2, DU151, DU151.2",Yes,DU151,panel,C.ZA.1998.DU151_02.DQ411851,0.016012,0.01: Bricault2019_dataset1;0.01: Wagh2016;0.012: Doria-Rose2012;0.012: Falkowska2012;0.012: Georgiev2013_dataset2;0.016: Bricault2019;0.016: Bricault2019_dataset2;0.016: Chuang2019;0.01600: Doria-Rose2016;0.016: Pancera2013;0.023: Georgiev2013_dataset1;0.023: Huang2012a;0.023: Huang2016a_dataset1;<0.023: Chuang2013;<0.023: McLellan2011
523,DU156_12,2,C,acute,CCR5,SOUTH AFRICA,1999.0,DQ411852,"DU156, SVPC3, NIH-ARP-11306, DU156.12, Du156.12",Yes,DU156,panel,C.ZA.1999.DU156_12.DQ411852,0.034927,0.012: Landais2017_dataset1;0.02: Bricault2019_dataset1;0.02: Wagh2016;0.021: Landais2017_dataset2;0.023: Georgiev2013_dataset1;0.023: Huang2012a;0.023: Huang2016a_dataset1;0.026: Bricault2019_dataset3;0.026: Hraber2014;0.035: Falkowska2012;0.035: Georgiev2013_dataset2;0.04: Doria-Rose2014;0.041: Bricault2019;0.041: Bricault2019_dataset2;0.04100: Doria-Rose2016;0.041: Pancera2013;0.046: Kong2015_dataset2;0.051: Kong2015_dataset1;0.056: Falkowska2014;0.056: Sok2014;0.058: Crooks2015;0.102: Chuang2019;0.218: Rusert2016;<0.023: Chuang2013;<0.023: Doria-Rose2012;<0.023: McLellan2011
524,DU172_17,2,C,<12mo,CCR5,SOUTH AFRICA,1998.0,DQ411853,"NIH-ARP-11307, DU172.17, Du172.17, DU172, DU172.17.SG3, SVPC4",Yes,DU172,panel,C.ZA.1998.DU172_17.DQ411853,0.25738,0.17: Bricault2019_dataset1;0.17: Wagh2016;0.19: Bricault2019;0.19: Bricault2019_dataset2;0.19000: Doria-Rose2016;0.19: Pancera2013;0.22: Landais2017_dataset1;0.226: Chuang2019;0.23: Doria-Rose2014;0.24: Falkowska2012;0.24: Georgiev2013_dataset2;0.256: Kong2015_dataset2;0.262: Chuang2013;0.262: Doria-Rose2012;0.262: Georgiev2013_dataset1;0.262: Huang2012a;0.262: Huang2016a_dataset1;0.262: McLellan2011;0.3: Landais2017_dataset2;0.314: Falkowska2014;0.314: Sok2014;0.32: Kong2015_dataset1;0.606: Bricault2019_dataset3;0.606: Hraber2014
525,DU422_1,2,C,<12mo,CCR5,SOUTH AFRICA,1998.0,DQ411854,"DU422_01, SVPC5, Du422.1, DU422.01, DU422",Yes,DU422,panel,C.ZA.1998.DU422_1.DQ411854,0.4019,0.08: Bricault2019_dataset1;0.08: Wagh2016;0.095: Landais2017_dataset2;0.14: Crooks2015;0.178: Falkowska2012;0.178: Georgiev2013_dataset2;0.228: Falkowska2014;0.228: Sok2014;0.228: vanGils2016;0.3: Doria-Rose2014;0.303: Chuang2013;0.303: Chuang2019;0.303: Doria-Rose2012;0.303: Georgiev2013_dataset1;0.303: Huang2012a;0.303: Huang2016a_dataset1;0.303: McLellan2011;0.312: Kong2015_dataset2;0.614: Bricault2019_dataset3;0.614: Hraber2014;11: Landais2017_dataset1;14.2: Kong2015_dataset1;19: Rusert2016;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Doria-Rose2016;>50: Pancera2013
526,ELI,,D,chronic,CXCR4,DEM REP OF CONGO,1983.0,K03454,,Yes,ELI,panel,D.CD.1983.ELI.K03454,1.96,1.96: Sok2016
527,EN3C016,,B,chronic,,UNITED STATES,2007.0,MN516423,,Yes,EN3,non-panel,B.US.2007.EN3C016.MN516423,50.0,>25: Hutchinson2019
528,EN3C028,,B,chronic,,UNITED STATES,2007.0,MN516424,,Yes,EN3,non-panel,B.US.2007.EN3C028.MN516424,50.0,>25: Hutchinson2019
529,EN3C040,,B,chronic,,UNITED STATES,2007.0,MN516425,,Yes,EN3,non-panel,B.US.2007.EN3C040.MN516425,50.0,>25: Hutchinson2019
530,EN3C041,,B,chronic,,UNITED STATES,2007.0,MN516426,,Yes,EN3,non-panel,B.US.2007.EN3C041.MN516426,50.0,>25: Hutchinson2019
531,EN3C045,,B,chronic,,UNITED STATES,2007.0,MN516427,,Yes,EN3,non-panel,B.US.2007.EN3C045.MN516427,50.0,>25: Hutchinson2019
532,EN3C059,,B,chronic,,UNITED STATES,2007.0,MN516428,,Yes,EN3,non-panel,B.US.2007.EN3C059.MN516428,50.0,>25: Hutchinson2019
533,EN3C061,,B,chronic,,UNITED STATES,2007.0,MN516429,,Yes,EN3,non-panel,B.US.2007.EN3C061.MN516429,50.0,>25: Hutchinson2019
534,EN3C068,,B,chronic,,UNITED STATES,2007.0,MN516430,,Yes,EN3,non-panel,B.US.2007.EN3C068.MN516430,50.0,>25: Hutchinson2019
535,EN3C073,,B,chronic,,UNITED STATES,2007.0,MN516431,,Yes,EN3,non-panel,B.US.2007.EN3C073.MN516431,50.0,>25: Hutchinson2019
536,EN3C075,,B,chronic,,UNITED STATES,2007.0,MN516432,,Yes,EN3,non-panel,B.US.2007.EN3C075.MN516432,50.0,>25: Hutchinson2019
537,EN3C084,,B,chronic,,UNITED STATES,2007.0,MN516433,,Yes,EN3,non-panel,B.US.2007.EN3C084.MN516433,50.0,>25: Hutchinson2019
538,EN3C088,,B,chronic,,UNITED STATES,2007.0,MN516434,,Yes,EN3,non-panel,B.US.2007.EN3C088.MN516434,50.0,>25: Hutchinson2019
539,EN3D006,,B,chronic,,UNITED STATES,2007.0,MN516435,,Yes,EN3,non-panel,B.US.2007.EN3D006.MN516435,50.0,>25: Hutchinson2019
