,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
71,0.549,0.70424,20.0,100.0,100.0,0.067,100.0,50.0,3.035,1.69
72,20.0,0.0014532,2.693,50.0,50.0,0.377,100.0,50.0,0.944,3.56
73,0.076,0.036,20.0,100.0,50.0,3.951,100.0,36.0,0.357,39.9
74,0.034,0.006,20.0,50.0,0.84,26.1499,100.0,50.0,0.4679999999999999,2.22492
75,20.0,100.0,0.979,50.0,50.0,0.073432,0.443,5.773,4.254,2.536
76,0.61,0.033083,20.0,50.0,100.0,0.84,0.399,6.537,1.79,9.595
77,0.356,0.019,20.0,50.0,50.0,0.007,0.273,0.411,1.327,0.824
78,0.478,0.025,20.0,22.7,20.0,0.26,0.491,20.0,20.0,8.88
79,0.155,14.64,0.376,50.0,20.0,0.067875,0.47,5.187,2.596,2.628
80,0.077,20.0,20.0,0.82,20.0,0.041,0.382,4.75,2.484,5.28
81,2.382,0.012,20.0,2.31,20.0,0.011,0.492,20.0,0.685,1.475
82,0.099,0.277,20.0,100.0,20.0,0.015,0.245,3.517,2.52,5.43
83,6.055,0.239,20.0,2.27,20.0,0.11991,0.285,3.774,0.0933679999999999,2.496
84,0.013186,20.0,20.0,14.24,20.0,100.0,100.0,7.139,3.55294,8.828
85,3.10139,0.033,0.432,100.0,20.0,0.355,100.0,0.984,0.1302299999999999,1.271
86,100.0,40.0,20.0,42.36,20.0,0.008,100.0,0.709,2.08,0.459
87,20.0,40.0,20.0,100.0,20.0,40.0,100.0,20.0,0.02,2.071
88,0.02,0.095,2.347,8.39,20.0,5.147,100.0,100.0,0.413,1.6984
89,0.025931,0.005,20.0,100.0,20.0,0.046,100.0,50.0,0.1234599999999999,50.0
90,20.0,0.002,20.0,100.0,20.0,19.801,100.0,100.0,0.35,0.19796
91,7.51771,0.008,20.0,100.0,20.0,40.0,100.0,100.0,9.534,0.95515
92,0.023488,0.008,0.50586,100.0,20.0,0.166,100.0,100.0,0.177,2.92
93,0.01,0.004,5.59498,100.0,20.0,0.034,100.0,100.0,0.78089,1.75
94,0.14,100.0,0.0031501,100.0,20.0,0.03,100.0,14.8,18.889,9.69715
95,0.28,100.0,0.024771,100.0,20.0,0.02,100.0,100.0,2.123,4.4
96,0.07,100.0,0.0014422,100.0,20.0,0.034,0.004,11.72,11.315,9.08
97,0.04,100.0,100.0,2.88,20.0,0.027,0.022,11.38,0.54098,16.88
98,0.03,100.0,0.024239,19.79,20.0,0.014,0.169,2.88,0.47,6.42549
99,20.0,0.014,0.0077639,21.76,100.0,0.008,0.004,1.13,0.84,0.93
100,0.01,0.009,0.572,100.0,50.0,0.042,0.003,0.5,1.73,0.1442
101,20.0,0.007,100.0,100.0,100.0,0.039,0.005,2.5,20.0,2.5
102,0.14,0.012,20.0,100.0,100.0,0.026,0.001,100.0,0.44,13.79
103,0.48,0.013,0.002,100.0,100.0,0.02,0.001,3.86,0.086,3.18
104,9.69,100.0,3.513,6.3,100.0,0.017,0.002,100.0,0.095,10.9
105,4.19,100.0,1.498,100.0,50.0,0.025,0.003,49.69,0.083,3.07
106,20.0,100.0,20.0,100.0,100.0,0.028,0.001,100.0,0.218,4.87
107,0.26,100.0,0.025137,7.9,50.0,0.016,0.001,100.0,0.102,6.06
108,20.0,100.0,40.0,100.0,50.0,0.013,0.002,100.0,0.039,4.81
